id,acc_app_id,area,acc_activity_id,actividad,organization_name,pais,province_id,provincia,canton
21161,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
21162,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
21163,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
21164,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
21165,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
21167,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
21168,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
21169,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
21170,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
21171,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
21172,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
21173,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
21174,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
21175,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
21540,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
21544,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
21545,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
21546,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
27719,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
27722,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
27725,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
28679,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
28680,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
28681,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
28682,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
28686,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
28762,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
28770,1729,INSPECCIÓN,7,INSPECCION,QUALIVERITAS,Ecuador,6,Cotopaxi,Latacunga
